,inicio,varinicio,varfim,;,id,int,real,lit,leia,escreva,literal,num,rcb,opm,se,então,opr,fimse,fim,(,),$
0,S2,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,ACC
2,,S4,,,,,,,,,,,,,,,,,,,,
3,,,,,S12,,,,S10,S11,,,,,S14,,,,S9,,,
4,,,S17,,S18,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,R2
6,,,,,S12,,,,S10,S11,,,,,S14,,,,S9,,,
7,,,,,S12,,,,S10,S11,,,,,S14,,,,S9,,,
8,,,,,S12,,,,S10,S11,,,,,S14,,,,S9,,,
9,,,,,,,,,,,,,,,,,,,,,,R30
10,,,,,S23,,,,,,,,,,,,,,,,,
11,,,,,S28,,,,,,S26,S27,,,,,,,,,,
12,,,,,,,,,,,,,S29,,,,,,,,,
13,,,,,S12,,,,S10,S11,,,,,S14,,,S34,,,,
14,,,,,,,,,,,,,,,,,,,,S35,,
15,,,,,R3,,,,R3,R3,,,,,R3,,,,R3,,,
16,,,S17,,S18,,,,,,,,,,,,,,,,,
17,,,,S37,,,,,,,,,,,,,,,,,,
18,,,,,,S39,S40,S41,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,R10
20,,,,,R12,,,,R12,R12,,,,,R12,,,R12,R12,,,
21,,,,,,,,,,,,,,,,,,,,,,R16
22,,,,,,,,,,,,,,,,,,,,,,R22
23,,,,S24,,,,,,,,,,,,,,,,,,
24,,,,,R11,,,,R11,R11,,,,,R11,,,R11,R11,,,
25,,,,S20,,,,,,,,,,,,,,,,,,
26,,,,R13,,,,,,,,,,,,,,,,,,
27,,,,R14,,,,,,,,,,,,,,,,,,
28,,,,R15,,,,,,,,,,,,,,,,,,
29,,,,,S44,,,,,,,S45,,,,,,,,,,
30,,,,,R23,,,,R23,R23,,,,,R23,,,R23,R23,,,
31,,,,,S12,,,,S10,S11,,,,,S14,,,S34,,,,
32,,,,,S12,,,,S10,S11,,,,,S14,,,S34,,,,
33,,,,,S12,,,,S10,S11,,,,,S14,,,S34,,,,
34,,,,,R29,,,,R29,R29,,,,,R29,,,R29,R29,,,
35,,,,,S44,,,,,,,S45,,,,,,,,,,
36,,,,,R4,,,,R4,R4,,,,,R4,,,,R4,,,
37,,,,,R5,,,,R5,R5,,,,,R5,,,,R5,,,
38,,,,S51,,,,,,,,,,,,,,,,,,
39,,,,R7,,,,,,,,,,,,,,,,,,
40,,,,R8,,,,,,,,,,,,,,,,,,
41,,,,R9,,,,,,,,,,,,,,,,,,
42,,,,S52,,,,,,,,,,,,,,,,,,
43,,,,R19,,,,,,,,,,S53,,,,,,,,
44,,,,R20,,,,,,,,,,R20,,,R20,,,,R20,
45,,,,R21,,,,,,,,,,R21,,,R21,,,,R21,
46,,,,,R26,,,,R26,R26,,,,,R26,,,R26,R26,,,
47,,,,,R27,,,,R27,R27,,,,,R27,,,R27,R27,,,
48,,,,,R28,,,,R28,R28,,,,,R28,,,R28,R28,,,
49,,,,,,,,,,,,,,,,,,,,,S54,
50,,,,,,,,,,,,,,,,,S55,,,,,
51,,,R6,,R6,,,,,,,,,,,,,,,,,
52,,,,,R17,,,,R17,R17,,,,,R17,,,R17,R17,,,
53,,,,,S44,,,,,,,S45,,,,,,,,,,
54,,,,,,,,,,,,,,,,S57,,,,,,
55,,,,,S44,,,,,,,S45,,,,,,,,,,
56,,,,R18,,,,,,,,,,,,,,,,,,
57,,,,,R24,,,,R24,R24,,,,,R24,,,R24,,,,
58,,,,,,,,,,,,,,,,,,,,,R25,
